,_id,workerId,textId,prediction,label,stance,leaning,text
0,22CeEjpsgia8wnYeL,worker59,503,Non-Biased,Biased,Democrats,0,"Football supports Trump in its promotion of racial division, the crushing of dissent, and the spread of misinformation, inequality, and brutality."
1,22NHLGXvQuAaJZqje,worker106,149,Non-Biased,Biased,Republican,0,"Trump also threatened to invoke the Insurrection Act, an 1807 law that would allow the president to send U.S. armed forces into states for the purpose of domestic law enforcement, if mayors and governors didn’t do more to curb the unrest."
2,22b8p7jPXipNzyKyp,worker64,66,Biased,Biased,Republican,0,"Demagogue that he is and that he’s toyed with becoming since well before he ran for president, Donald Trump used his June 2 rant against looting and thuggery after George Floyd’s murder to bang the drum for a civil war that he’s been toying with starting ever since he took out full-page newspaper ads in 1989, calling for the death penalty and greater police presence even after the charges against young black men in the Central Park jogger attack were soon found to be  baseless. "
3,24GPiKKxZWCGXHXZi,worker11,807,Biased,Biased,Democrats,1,"In February, Breitbart News’s John Binder reported that Trump’s travel ban halted almost all legal immigration from countries designated as sponsors of terrorism."
4,24L9Sh2TXgYgrMY9D,worker381,878,Biased,Biased,Democrats,0,"Trump has been able to maintain 40% approval ratings by effectively manipulating the lizard brains of white Republicans, but even before COVID-19 hit, he was considered one of the worst presidents in the two surveys of scholars done in 2018."
5,24TfzHQvaRbzsf5Ew,worker204,20,Non-Biased,Non-biased,Democrats,0,"In Portland, demonstrations following the deaths of George Floyd and a long list of other Black citizens stopped by police in routine matters have grown wild enough to be called “riots,” by authorities, though the damage seems mostly minor vandalism to the outside of buildings, including the federal courthouse. "
6,24eFJNcSEjnot5NcG,worker368,1414,Non-Biased,Biased,Republican,1,She rips Rush for being a “racist” and mocks him for pretending to be surprised.
7,26b6S6hem3z8Tgvdr,worker64,518,Biased,Biased,Republican,0,Rambling Trump flops hard after Limbaugh asks how he will protect people with pre-existing conditions
8,26baYYHmsXXRvNRtn,worker253,1105,Non-Biased,Non-biased,Democrats,0,"Although U.S.-based sporting goods companies now produce almost none of their own gear, increasing the cost of imports from China could still jeopardize thousands of U.S. white collar jobs in design, product development, and sales and marketing."
9,26pweTy2FajSTERnE,worker42,1702,Biased,Non-biased,Independent,1,"Though the state remains a hothouse for high-tech and media startups, thousands of companies left the state due to its high taxes, heavy regulations, and litigious environment."
10,26y2CieXkmbwAY4Do,worker235,1631,Non-Biased,Non-biased,Democrats,1,President Donald Trump announced Wednesday that he was expanding Operation Legend to send additional federal law enforcement resources to Chicago to help quell a spike in violent crime in that city.
11,27YGbdjZXFE9z5c42,worker127,180,Biased,Biased,Republican,0,"Biden’s five picks are typical of centrists who want to trim the edges of our bloated, draconian justice system without changing anything systemically."
12,27YbshssxhkSMuswW,worker346,48,Biased,Biased,Democrats,0,"Alzheimer’s patients, lower-income preschool children, and HIV and cancer patients are among the Americans whose needs may go unmet so that the Trump administration can afford to detain thousands of migrant children."
13,27Z6RcwvanuepNk4p,worker354,932,Biased,Non-biased,Independent,0,"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. "
14,27geyjLCrCqpEhgYB,worker301,1205,Biased,Biased,Democrats,1,Lawmakers specifically said they want to protect women from facing unfair competition from men who claim to be transgender women.
15,27wnxzE99rJ4WoqzR,worker171,682,Non-Biased,Non-biased,Republican,0,Donald Trump signed an executive order for this deferral and said he had plans to eliminate the tax altogether. 
16,27wyybLfojYuPq8Zj,worker165,752,Non-Biased,Non-biased,Democrats,1,The fact that the abortion rate among American blacks is far higher than the rate for whites is routinely chronicled and mourned.
17,28vbuxHHhkC9sB8gq,worker353,896,Non-Biased,Non-biased,Democrats,1,"It should be clear by now that no matter how bad the violence gets, López Obrador is not going to do anything about the cartels."
18,29YMX7AZsweRs6Hn5,worker134,1831,Biased,Non-biased,Independent,1,No amount of denial from pro-choicers can change the fact that many post-abortive mothers carry the grief of a severed parent-child bond with them.
19,29qzuBFAjkJwMsiLm,worker140,1184,Biased,Biased,Independent,0,"Since January 2017, Trump has volleyed on healthcare often spewing lies about forthcoming release dates for his plan. "
20,29uCRPhvYmB8ygdqg,worker143,1695,Non-Biased,Non-biased,Democrats,0,"Amplifying fresh critiques of wealthy inequality that have mounted throughout the coronavirus pandemic, Amazon founder Jeff Bezos—the world’s richest man—has added nearly $24 billion to his already massive fortune in 2020 as virus-related lockdowns across the globe have forced people to stay inside and fueled increased e-commerce demand."
21,2ATRfxkb2xhDiGenc,worker196,807,Biased,Biased,Democrats,1,"In February, Breitbart News’s John Binder reported that Trump’s travel ban halted almost all legal immigration from countries designated as sponsors of terrorism."
22,2Ag3dHk9qzWvdYYfr,worker366,82,Non-Biased,Biased,Republican,1,"It obviously works extremely well for Democrats, a large faction and the leadership of which appears to be as impervious to facts as anti-vaxxers and QAnon followers."
23,2BCpPNwYscgR2QYTC,worker359,68,Biased,Biased,Democrats,1,"Haqqani claimed the Taliban are just looking for a round of free and fair elections, laughably pretending the murderous Islamist extremists would cheerfully accept losing and head back to their caves in peace if the Afghan people reject them."
24,2BFXMAk5NGBXSBGG6,worker140,872,Biased,Non-biased,Independent,1,"But if you major in philosophy or gender studies, you might struggle to find any job in your field, let alone a well-paying one."
25,2BKBLPm9WFPTaab8s,worker329,1287,Non-Biased,Non-biased,Democrats,0,"The death of the postal service would deprive Americans of a way to vote, pay bills, apply for passports, get prescriptions, send letters, receive tax refunds, collect Social Security and ship items ranging from gold bars to cremated remains."
26,2BfmNNRkheuyjj7fQ,worker152,149,Biased,Biased,Democrats,0,"Trump also threatened to invoke the Insurrection Act, an 1807 law that would allow the president to send U.S. armed forces into states for the purpose of domestic law enforcement, if mayors and governors didn’t do more to curb the unrest."
27,2BkigJZEPSFnCgBWJ,worker360,275,Biased,Biased,Democrats,1,"While sexual ambiguity does occasionally occur, the authors note, “intersex individuals are extremely rare, and they are neither a third sex nor proof that sex is a ‘spectrum’ or a ‘social construct.’”"
28,2BtS7fvhbaKrMHxzP,worker278,154,Biased,Biased,Republican,0,"The Trump administration has repeatedly said there is an ongoing “crisis” at the southern border and sought to deter migrants, many of whom were Central American families, from making the journey."
29,2C7WwiWyRdoqkCANv,worker309,1957,Non-Biased,Biased,Democrats,0,They see the pandemic as societal breakdown and therefore an opportunity to get out their guns and finally shoot all those liberals that they have wanted to kill for a very long time.
30,2CKYTPp6gevFFxjQF,worker26,1742,Biased,Biased,Democrats,1,"Here, for example, is a tweet video of woke hipsters saluting protesters—and getting their windows smashed with rocks. "
31,2CtJPYTuL5v5Cmut8,worker79,1953,Non-Biased,Non-biased,Democrats,1,"The mayor of Minneapolis called Wednesday for criminal charges against the white police officer seen on video kneeling against the neck of a handcuffed Floyd, the black man who complained that he could not breathe and died in police custody."
32,2CuReBZQMMn7JhwZY,worker241,1493,Non-Biased,Non-biased,Democrats,1,"That is what we are doing every day, exposing the deep state, their allies and the corrupt liberal media that enables them. "
33,2DWCgWq5EMeJdYPsj,worker255,246,Biased,Biased,Democrats,1,An angry Senate Majority Leader Mitch McConnell (R-KY) slammed Democrats for voting against the bill and blamed House Speaker Nancy Pelosi (D-CA) for nixing bipartisan negotiations over a coronavirus package.
34,2DatrmxcLgzxNYyWC,worker103,1112,Biased,Biased,Republican,0,Trump attacking wind power is nothing new.
35,2F4mr3KMdNYovLBtG,worker62,1690,Biased,Biased,Democrats,1,"Jose Acosta, 33-year-old Honduran immigrant, snuck into the U.S. eight months ago in Eagle Pass, Texas, but was apprehended weeks later in Houston on his way to a job in North Carolina."
36,2G3SHcSMozizNsX9t,worker142,802,Biased,Biased,Independent,0,There's a dollop of cream on top of the shit sandwich that is the Trump-backed lawsuit in front of the Supreme Court to overturn the Affordable Care Act (ACA). 
37,2GHdvvMmGRYcEGic6,worker59,336,Biased,Biased,Democrats,1,"There was no immediate confirmation from US officials about the alleged plan to slash US troop numbers in Germany and cap them at 25,000 in future. But Trump’s lukewarm support of longstanding cooperation agreements with European allies has long caused alarm on the continent."
38,2GWdkHXQtzwh7w3sY,worker30,608,Non-Biased,Biased,Republican,1,"Model and left-wing activist Emily Ratajkowski celebrated Easter Sunday, the most important day in the Christian calendar, by posting racy photos of herself in a thong."
39,2Ga3RgadiYga6SxgK,worker125,1510,Biased,Biased,Republican,1,"Cuomo has been championed by the mainstream media for his response to the coronavirus pandemic in New York City, but his state-wide response to nursing homes deserves anything but the glowing praise he’s received."
40,2Gg2y5Z4pvTHBaHqp,worker96,276,Non-Biased,Biased,Democrats,0,"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank."
41,2GtNQT4u5iuuW54XK,worker325,1835,Non-Biased,Non-biased,Republican,1,"Congress has not set an annual limit on the number of visa workers who can be sponsored for green cards, so the resident population of permanent “temporary workers” is growing fast — and is helping to suppress wages for American graduates."
42,2GxaenqcFuG6NFDsg,worker58,1657,Non-Biased,Non-biased,Republican,1,"Some moderate Democrats have criticized that proposal, arguing that it would burden the wealthy and middle-class to help the working class, or that it would raise the national debt, which is currently $23 trillion."
43,2HDNQ8wBdHxozzasM,worker272,1888,Biased,Biased,Democrats,0,"The Christian Right, white nationalists and coronavirus truthers are so twisted that they have even turned Dr. Anthony Fauci into one of the objects of their hatred. Fauci, an expert immunologist who is part of Trump’s coronavirus task force, has had to increase his security detail because of death threats from extremists who believe he is exaggerating the threat in order to undermine Trump’s presidency."
44,2HYcTpph6YQ7pCbgn,worker169,496,Non-Biased,Biased,Republican,1,Climate Wunderkind Greta Thunberg has garnered gushing praise from celebrities during her environmental crusade.
45,2HnES5JycfpKmu5H7,worker27,1366,Biased,Biased,Republican,1,"It is also partly the result of anti-Trump hysteria, which has created an alternate reality for much of urban America, particularly its elites."
46,2JNkPeC4pCvfyB5wu,worker195,772,Non-Biased,Biased,Democrats,0,"But in her rush for snarky liberal-bashing, Swoyer misses the real story about Alexandria Ocasio-Cortez’s pricey haircut: the blatant and disparate “female tax” that women in power must pay to achieve and maintain their power."
47,2JZrtCz57rSmwq2SA,worker133,930,Biased,Non-biased,Democrats,0,"Arizona Sen. Martha McSally, vying with fellow Republican Sen. Cory Gardner of Colorado for whose political career is most likely to be toast come November, is pretending that she cares about whether or not you have health care."
48,2Jo6Gmv7KTTPSrnrk,worker197,1605,Biased,Non-biased,Democrats,0,"The city’s Tax Commission, which handles property tax appeals, also reviewed submissions by Trump’s company for space it owns in the Trump International Hotel and Tower, a person knowledgeable about the commission said. "
49,2Jww5EukGYQ6gGGKA,worker140,19,Non-Biased,Biased,Independent,1,"Harris, like her Democrat competitors at the time, signaled that she supports free, taxpayer-funded health care for illegal aliens, which by some estimates could cost up to $660 billion per decade."
50,2JxQqmDD3GHhqpcpi,worker183,673,Biased,Biased,Democrats,0,"On Monday, the Supreme Court voted in an 8-1 decision against Rubio’s gimmick to take down Obamacare."
51,2K7ZwhqpvmfKMfSRX,worker32,1256,Biased,Biased,Democrats,0,"Today, the cumulative stress of Donald Trump’s escalating trade war is leading to if not an irreparable breach between America and China, then certainly a significant fraying."
53,2KKu4twcjKNshbQ7h,worker379,1034,Non-Biased,Non-biased,Democrats,0,One of the most common canards against immigration is the idea that illegal immigrants drive down the wages for native workers.
